certificateOfSale,parcel,saleDate
2022-C-000448,REDEEMED,
2022-C-000449,CERTIFIED,05/10/2023
2022-C-000450,CERTIFIED,05/10/2023
2022-C-000451,CERTIFIED,05/10/2023
2022-C-000452,REDEEMED,
2022-C-000453,CERTIFIED,05/10/2023
2022-C-000454,CERTIFIED,05/10/2023
2022-C-000455,CERTIFIED,05/10/2023
2022-C-000456,REDEEMED,
2022-C-000457,CERTIFIED,05/10/2023
2022-C-000458,CERTIFIED,05/10/2023
2022-C-000459,CERTIFIED,05/10/2023
2022-C-000460,REDEEMED,
2022-C-000461,CERTIFIED,05/10/2023
2022-C-000462,CERTIFIED,05/10/2023
2022-C-000463,CERTIFIED,05/10/2023
2022-C-000464,REDEEMED,
2022-C-000465,CERTIFIED,05/10/2023
2022-C-000466,CERTIFIED,05/10/2023
2022-C-000467,CERTIFIED,05/10/2023
2022-C-000468,CERTIFIED,05/10/2023
2022-C-000469,REDEEMED,
2022-C-000470,CERTIFIED,05/10/2023
2022-C-000471,REDEEMED,
2022-C-000472,REDEEMED,
2022-C-000473,REDEEMED,
2022-C-000474,REDEEMED,
2022-C-000475,CERTIFIED,05/10/2023
2022-C-000476,REDEEMED,
2022-C-000477,CERTIFIED,05/10/2023
2022-C-000478,CERTIFIED,05/10/2023
2022-C-000479,REDEEMED,
2022-C-000480,CERTIFIED,05/10/2023
2022-C-000481,CERTIFIED,05/10/2023
2022-C-000482,CERTIFIED,05/10/2023
2022-C-000483,REDEEMED,
2022-C-000484,CERTIFIED,05/10/2023
2022-C-000485,CERTIFIED,05/10/2023
2022-C-000486,CERTIFIED,05/10/2023
2022-C-000487,REDEEMED,
2022-C-000488,CERTIFIED,05/10/2023
2022-C-000489,CERTIFIED,05/10/2023
2022-C-000490,CERTIFIED,05/10/2023
2022-C-000491,CERTIFIED,05/10/2023
2022-C-000492,CERTIFIED,05/10/2023
2022-C-000493,CERTIFIED,05/10/2023
2022-C-000494,REDEEMED,
2022-C-000495,REDEEMED,
2022-C-000496,REDEEMED,
2022-C-000497,REDEEMED,
2022-C-000498,CERTIFIED,05/10/2023
2022-C-000499,REDEEMED,
2022-C-000500,REDEEMED,
2022-C-000501,REDEEMED,
2022-C-000502,CERTIFIED,05/10/2023
2022-C-000505,CERTIFIED,05/10/2023
2022-C-000506,CERTIFIED,05/10/2023
2022-C-000507,CERTIFIED,05/10/2023
2022-C-000508,CERTIFIED,05/10/2023
2022-C-000509,CERTIFIED,05/10/2023
2022-C-000510,CERTIFIED,05/10/2023
2022-C-000511,CERTIFIED,05/10/2023
2022-C-000512,REDEEMED,
2022-C-000513,REDEEMED,
2022-C-000514,CERTIFIED,05/10/2023
2022-C-000515,REDEEMED,
2022-C-000516,CERTIFIED,05/10/2023
2022-C-000517,REDEEMED,
2022-C-000518,CERTIFIED,05/10/2023
2022-C-000519,CERTIFIED,05/10/2023
2022-C-000520,REDEEMED,
2022-C-000521,CERTIFIED,05/10/2023
2022-C-000522,CERTIFIED,05/10/2023
2022-C-000523,CERTIFIED,05/10/2023
2022-C-000524,REDEEMED,
2022-C-000525,CERTIFIED,05/10/2023
2022-C-000526,CERTIFIED,05/10/2023
2022-C-000527,CERTIFIED,05/10/2023
2022-C-000528,CERTIFIED,05/10/2023
2022-C-000529,CERTIFIED,05/10/2023
