certificateOfSale,parcel,saleDate
2022-C-000284,CERTIFIED,05/25/2023
2022-C-000285,REDEEMED,
2022-C-000286,CERTIFIED,05/25/2023
2022-C-000287,CERTIFIED,05/25/2023
2022-C-000288,REDEEMED,
2022-C-000289,REDEEMED,
2022-C-000290,CERTIFIED,05/25/2023
2022-C-000291,CERTIFIED,05/25/2023
2022-C-000292,CERTIFIED,05/25/2023
2022-C-000293,CERTIFIED,05/25/2023
2022-C-000294,CERTIFIED,05/25/2023
2022-C-000295,CERTIFIED,05/25/2023
2022-C-000296,CERTIFIED,05/25/2023
2022-C-000297,CERTIFIED,05/25/2023
2022-C-000298,REDEEMED,
2022-C-000299,REDEEMED,
2022-C-000300,CERTIFIED,05/25/2023
2022-C-000301,CERTIFIED,05/25/2023
2022-C-000302,CERTIFIED,05/25/2023
2022-C-000303,CERTIFIED,05/25/2023
2022-C-000304,CERTIFIED,05/25/2023
2022-C-000305,CERTIFIED,05/25/2023
2022-C-000306,CERTIFIED,05/25/2023
2022-C-000307,CERTIFIED,05/25/2023
2022-C-000308,REDEEMED,
2022-C-000309,REDEEMED,
2022-C-000310,CERTIFIED,05/25/2023
2022-C-000311,CERTIFIED,05/25/2023
2022-C-000312,CERTIFIED,05/25/2023
2022-C-000313,CERTIFIED,05/25/2023
2022-C-000314,REDEEMED,
2022-C-000315,CERTIFIED,05/25/2023
2022-C-000316,CERTIFIED,05/25/2023
2022-C-000317,REDEEMED,
2022-C-000318,REDEEMED,
2022-C-000319,REDEEMED,
2022-C-000320,CERTIFIED,05/25/2023
2022-C-000321,CERTIFIED,05/25/2023
2022-C-000322,CERTIFIED,05/25/2023
2022-C-000323,REDEEMED,
2022-C-000324,CERTIFIED,05/25/2023
2022-C-000325,CERTIFIED,05/25/2023
2022-C-000326,CERTIFIED,05/25/2023
2022-C-000327,CERTIFIED,05/25/2023
