certificateOfSale,parcel,saleDate
2022-C-000302,REDEEMED,
2022-C-000303,CERTIFIED,05/18/2023
2022-C-000304,REDEEMED,
2022-C-000305,CERTIFIED,05/18/2023
2022-C-000306,CERTIFIED,05/18/2023
2022-C-000307,CERTIFIED,05/18/2023
2022-C-000308,CERTIFIED,05/18/2023
2022-C-000309,REDEEMED,
2022-C-000310,CERTIFIED,05/18/2023
2022-C-000311,REDEEMED,
2022-C-000312,REDEEMED,
2022-C-000313,REDEEMED,
2022-C-000314,REDEEMED,
2022-C-000315,CERTIFIED,05/18/2023
2022-C-000316,CERTIFIED,05/18/2023
2022-C-000317,CERTIFIED,05/18/2023
2022-C-000318,CERTIFIED,05/18/2023
2022-C-000319,CERTIFIED,05/18/2023
2022-C-000320,CERTIFIED,05/18/2023
2022-C-000321,REDEEMED,
2022-C-000322,CERTIFIED,05/18/2023
2022-C-000323,REDEEMED,
2022-C-000324,CERTIFIED,05/18/2023
2022-C-000325,REDEEMED,
2022-C-000326,REDEEMED,
2022-C-000327,REDEEMED,
2022-C-000328,REDEEMED,
2022-C-000329,REDEEMED,
2022-C-000330,CERTIFIED,05/18/2023
2022-C-000331,CERTIFIED,05/18/2023
2022-C-000332,CERTIFIED,05/18/2023
2022-C-000333,REDEEMED,
2022-C-000334,REDEEMED,
2022-C-000335,CERTIFIED,05/18/2023
2022-C-000336,CERTIFIED,05/18/2023
2022-C-000337,CERTIFIED,05/18/2023
2022-C-000338,CERTIFIED,05/18/2023
2022-C-000339,CERTIFIED,05/18/2023
2022-C-000340,CERTIFIED,05/18/2023
2022-C-000341,CERTIFIED,05/18/2023
2022-C-000342,CERTIFIED,05/18/2023
2022-C-000343,CERTIFIED,05/18/2023
2022-C-000344,CERTIFIED,05/18/2023
2022-C-000345,CERTIFIED,05/18/2023
2022-C-000346,REDEEMED,
2022-C-000347,REDEEMED,
2022-C-000348,REDEEMED,
2022-C-000349,CERTIFIED,05/18/2023
2022-C-000350,CERTIFIED,05/18/2023
2022-C-000351,REDEEMED,
2022-C-000352,CERTIFIED,05/18/2023
2022-C-000353,CERTIFIED,05/18/2023
2022-C-000354,CERTIFIED,05/18/2023
2022-C-000355,CERTIFIED,05/18/2023
2022-C-000356,CERTIFIED,05/18/2023
2022-C-000357,REDEEMED,
2022-C-000358,REDEEMED,
2022-C-000359,REDEEMED,
2022-C-000360,CERTIFIED,05/18/2023
2022-C-000361,CERTIFIED,05/18/2023
2022-C-000362,CERTIFIED,05/18/2023
2022-C-000363,CERTIFIED,05/18/2023
2022-C-000364,REDEEMED,
2022-C-000365,CERTIFIED,05/18/2023
2022-C-000366,CERTIFIED,05/18/2023
2022-C-000367,CERTIFIED,05/18/2023
2022-C-000368,CERTIFIED,05/18/2023
2022-C-000369,REDEEMED,
2022-C-000370,REDEEMED,
2022-C-000371,CERTIFIED,05/18/2023
2022-C-000372,CERTIFIED,05/18/2023
2022-C-000373,CERTIFIED,05/18/2023
2022-C-000374,CERTIFIED,05/18/2023
2022-C-000375,CERTIFIED,05/18/2023
2022-C-000376,REDEEMED,
2022-C-000377,CERTIFIED,05/18/2023
2022-C-000378,CERTIFIED,05/18/2023
2022-C-000379,CERTIFIED,05/18/2023
2022-C-000380,CERTIFIED,05/18/2023
2022-C-000381,REDEEMED,
2022-C-000382,REDEEMED,
2022-C-000383,CERTIFIED,05/18/2023
2022-C-000384,CERTIFIED,05/18/2023
2022-C-000385,CERTIFIED,05/18/2023
2022-C-000386,REDEEMED,
2022-C-000387,CERTIFIED,05/18/2023
2022-C-000388,REDEEMED,
2022-C-000389,CERTIFIED,05/18/2023
2022-C-000390,CERTIFIED,05/18/2023
2022-C-000391,CERTIFIED,05/18/2023
2022-C-000392,CERTIFIED,05/18/2023
2022-C-000393,CERTIFIED,05/18/2023
2022-C-000394,CERTIFIED,05/18/2023
2022-C-000395,CERTIFIED,05/18/2023
2022-C-000396,CERTIFIED,05/18/2023
2022-C-000397,CERTIFIED,05/18/2023
2022-C-000398,CERTIFIED,05/18/2023
2022-C-000399,CERTIFIED,05/18/2023
2022-C-000400,CERTIFIED,05/18/2023
2022-C-000401,CERTIFIED,05/18/2023
2022-C-000402,REDEEMED,
2022-C-000403,CERTIFIED,05/18/2023
2022-C-000404,CERTIFIED,05/18/2023
2022-C-000405,CERTIFIED,05/18/2023
2022-C-000406,CERTIFIED,05/18/2023
2022-C-000407,CERTIFIED,05/18/2023
2022-C-000408,CERTIFIED,05/18/2023
2022-C-000409,CERTIFIED,05/18/2023
2022-C-000410,CERTIFIED,05/18/2023
2022-C-000411,CERTIFIED,05/18/2023
2022-C-000412,CERTIFIED,05/18/2023
2022-C-000413,CERTIFIED,05/18/2023
2022-C-000414,CERTIFIED,05/18/2023
2022-C-000415,CERTIFIED,05/18/2023
2022-C-000416,CERTIFIED,05/18/2023
2022-C-000417,CERTIFIED,05/18/2023
2022-C-000418,CERTIFIED,05/18/2023
2022-C-000419,CERTIFIED,05/18/2023
2022-C-000420,CERTIFIED,05/18/2023
2022-C-000421,CERTIFIED,05/18/2023
2022-C-000422,CERTIFIED,05/18/2023
2022-C-000423,CERTIFIED,05/18/2023
2022-C-000424,CERTIFIED,05/18/2023
2022-C-000425,CERTIFIED,05/18/2023
2022-C-000426,CERTIFIED,05/18/2023
